kanji,eng,kunyomi,onyomi,ex1,ex2,ex3
朝,morning,['あさ'],['チョウ'],"['朝', 'あさ', 'morning']","['朝食', 'ちょうしょく', 'breakfast']","['今朝', 'けさ', 'this morning']"
以,since,['もっ.て'],['イ'],"['以上', 'いじょう', 'since']","['以下', 'いか', 'less than']",
台,base,['うてな|われ|つかさ'],['ダイ|タイ'],"['台風', 'たいふう', 'typhoon']","['台所', 'だいどころ', 'kitchen']",
広,wide,['ひろ.い|ひろ.まる|ひろ.める|ひろ.がる|ひろ.げる'],['コウ'],"['広い', 'ひろい', 'spacious']","['広島', 'ひろしま', 'Hiroshima']","['広大', 'こうだい', 'huge']"
道,{EMPTY},['みち|いう'],['ドウ|トウ'],,,
安,{EMPTY},['やす.い|やす.まる|やす|やす.らか'],['アン'],,,
重,heavy,['え|おも.い|おも.り|おも.なう|かさ.ねる|かさ.なる|おも'],['ジュウ|チョウ'],"['重い', 'おもい', 'heavy']","['重大', 'じゅうだい', 'serious']","['体重', 'たいじゅう', ""one's body weight""]"
赤,red,['あか|あか-|あか.い|あか.らむ|あか.らめる'],['セキ|シャク'],"['赤い', 'あかい', 'red']","['赤ちゃん', 'あかちゃん', 'baby']","['赤道', 'せきどう', 'equator']"
青,blue,['あお|あお-|あお.い'],['セイ|ショウ'],"['青空', 'あおぞら', 'blue sky']",,
工,craft,[],['コウ|ク|グ'],"['工学', 'こうがく', 'engineering']","['工事', 'こうじ', 'craft']",
止,stop,['と.まる|-ど.まり|と.める|-と.める|-ど.め|とど.める|とど.め|とど.まる|や.める|や.む|-や.む|よ.す|-さ.す|-さ.し'],['シ'],"['止める', 'とめる', 'to stop']","['止まる', 'とまる', 'to stay']","['中止', 'ちゅうし', 'suspension']"
集,collect,['あつ.まる|あつ.める|つど.う'],['シュウ'],"['集まる', 'あつまる', 'to collect']","['集中', 'しゅうちゅう', 'concentration']",
物,thing,['もの|もの-'],['ブツ|モツ'],"['物', 'もの', 'thing']","['建物', 'たてもの', 'building']","['物語', 'ものがたり', 'story']"
切,cut,['き.る|-き.る|き.り|-き.り|-ぎ.り|き.れる|-き.れる|き.れ|-き.れ|-ぎ.れ'],['セツ|サイ'],"['大切', 'たいせつ', 'important']","['切手', 'きって', 'stamp']",
使,use,['つか.う|つか.い|-つか.い|-づか.い'],['シ'],"['使う', 'つかう', 'to use']","['天使', 'てんし', 'angel']",
品,goods,['しな'],['ヒン|ホン'],"['品物', 'しなもの', 'goods']","['部品', 'ぶひん', 'accesories']","['品名', 'ひんめい', 'product name']"
死,death,['し.ぬ|し.に-'],['シ'],"['死ぬ', 'しぬ', 'to die']","['病死', 'びょうし', 'natural death']","['安楽死', 'あんらくし', 'euthanasia']"
始,begin,['はじ.める|-はじ.める|はじ.まる'],['シ'],"['始める', 'はじめる', 'to start']","['年始', 'ねんし', 'new year']",
楽,pleasure,['たの.しい|たの.しむ|この.む'],['ガク|ラク|ゴウ'],"['楽', 'らく', 'comfort, ease']","['音楽', 'おんがく', 'music']","['楽しい', 'たのしい', 'enjoyable']"
運,transport,['はこ.ぶ'],['ウン'],"['運ぶ', 'はこぶ', 'to transport']","['運', 'うん', 'fortune, luck']","['運動', 'うんどう', 'exercise']"
少,{EMPTY},['すく.ない|すこ.し'],['ショウ'],,,
終,end,['お.わる|-お.わる|おわ.る|お.える|つい|つい.に'],['シュウ'],"['終わる', 'おわる', 'to finish']","['終わり', 'おわり', 'the end']","['始終', 'しじゅう', 'from beginning to end']"
花,{EMPTY},['はな'],['カ|ケ'],,,
住,dwell,['す.む|す.まう|-ず.まい'],['ジュウ|ヂュウ|チュウ'],"['住所', 'じゅうしょ', 'address']","['安住', 'あんじゅう', 'live in peace']",
親,parent,['おや|おや-|した.しい|した.しむ'],['シン'],"['親', 'おや', 'parents']","['両親', 'りょうしん', 'parents']","['親しい', 'したしい', 'close (friend)']"
真,true,['ま|ま-|まこと'],['シン'],"['写真', 'しゃしん', 'photograph']","['真中', 'まんなか', 'centre, mid-way']","['真理', 'しんり', 'truth']"
有,possess,['あ.る'],['ユウ|ウ'],"['有名', 'ゆうめい', 'famous']","['有用', 'ゆうよう', 'useful']","['有事', 'ゆうじ', 'emergency']"
別,separate,['わか.れる|わ.ける'],['ベツ'],"['特別', 'とくべつ', 'special']","['送別', 'そうべつ', 'separate']",
夕,evening,['ゆう'],['セキ'],"['夕食', 'ゆうしょく', 'evening']","['七夕', 'たなばた', 'Star Festival']",
急,hurry,['いそ.ぐ|いそ.ぎ|せ.く'],['キュウ'],"['急ぐ', 'いそぐ', 'to hurry']","['急行', 'きゅうこう', 'express train']","['急死', 'きゅうし', 'sudden death']"
送,send,['おく.る'],['ソウ'],"['送る', 'おくる', 'to send']","['先送り', 'さきおきる', 'postpone']","['送電', 'そうでん', 'electric supply']"
特,special,[],['トク'],"['特別', 'とくべつ', 'special']","['特集', 'とくしゅう', 'special feature']","['特急', 'とっきゅう', 'limited express train']"
答,answer,['こた.える|こた.え'],['トウ'],"['答え', 'こたえ', 'answer']","['問答', 'もんどう', 'q and a']","['口答え', 'くちごたえ', 'retort']"
夜,night,['よ|よる'],['ヤ'],"['今夜', 'こんや', 'night']","['夜空', 'よそら', 'night sky']",
転,revolve,['ころ.がる|ころ.げる|ころ.がす|ころ.ぶ|まろ.ぶ|うたた|うつ.る|くる.めく'],['テン'],"['転じる', 'てんじる', 'to turn']","['自転車', 'じてんしゃ', 'bic']","['転ぶ', 'ころぶ', 'to fall down']"
店,{EMPTY},['みせ|たな'],['テン'],,,
帰,return home,['かえ.る|かえ.す|おく.る|とつ.ぐ'],['キ'],"['帰る', 'かえる', 'to return']","['持ち帰り', 'もちかえり', 'takeout']",
研,study,['と.ぐ'],['ケン'],"['研究者', 'けんきゅうしゃ', 'researcher']","['研ぐ', 'とぐ', 'to sharpen']",
歌,song,['うた|うた.う'],['カ'],"['歌', 'うた', 'song']","['歌手', 'かしゅ', 'singer']","['歌声', 'うたごえ', 'singing voice']"
図,drawing,['え|はか.る'],['ズ|ト'],"['地図', 'ちず', 'map']","['意図', 'いと', 'intention']",
室,room,['むろ'],['シツ'],"['教室', 'きょうしつ', 'classroom']",,
究,research,['きわ.める'],['キュウ|ク'],"['学究', 'がっkきゅう', 'scholar']","['究朝', 'きゅうめい', 'scientific investigation']","['研究員', 'けんきゅういん', 'researcher']"
歩,{EMPTY},['ある.く|あゆ.む'],['ホ|ブ|フ'],,,
風,wind,['かぜ|かざ-'],['フウ|フ'],"['台風', 'たいふう', 'typhoon']","['洋風', 'ようふう', 'western style']","['風習', 'ふうしゅう', 'custom']"
紙,paper,['かみ'],['シ'],"['紙', 'かみ', 'paper']","['手紙', 'てがみ', 'letter']","['用紙', 'ようし', 'answer sheet']"
起,wake up,['お.きる|お.こる|お.こす|おこ.す|た.つ'],['キ'],"['起きる', 'おきる', 'to wake up']","['起こる', 'おこる', 'to occur']",
着,wear / arrive,['き.る|き.せる|つ.く|つ.ける'],['チャク|ジャク'],"['着る', 'きる', 'to wear']","['着く', 'つく', 'to arrive']","['着物', 'きもの', 'kimono']"
黒,black,['くろ|くろ.ずむ|くろ.い'],['コク'],"['黒字', 'こくじ', 'to be in the black']","['白黒', 'しろくろ', 'black and white']","['黒っぽい', 'くろっぽい', 'dark']"
病,sick,['や.む|-や.み|やまい'],['ビョウ|ヘイ'],"['病院', 'びょういん', 'hospital']","['病気', 'びょうき', 'sick']","['病死', 'びょうし', 'dying']"
春,spring,['はる'],['シュン'],"['春', 'はる', 'spring']","['青春', 'せいしゅん', 'spring']",
待,wait,['ま.つ|-ま.ち'],['タイ'],"['待つ', 'まつ', 'to wait']","['待合', 'まちあい', 'meeting place']","['待ち合わせ', 'まちあわせ', 'appointment']"
族,family,[],['ゾク'],"['家族', 'かぞく', 'family']","['民族', 'みんぞく', 'people']","['王族', 'おうぞく', 'royalty']"
料,fee,[],['リョウ'],"['料金', 'りょうきん', 'fee']","['料理', 'りょうり', 'cooking']","['試料', 'しりょう', 'sample']"
銀,silver,['しろがね'],['ギン'],"['銀行', 'ぎんこう', 'bank']","['銀色', 'ぎんいろ', 'silver (color)']","['水銀', 'すいぎん', 'mercury']"
建,build,['た.てる|た.て|-だ.て|た.つ'],['ケン|コン'],"['建物', 'たてもの', 'build']","['建前', 'たてまえ', 'public position']",
